postalCode,Shape_Area,geometry,count,normalized_by_area_count,log_normalized_by_area_count
11372,20163283.8744,"POLYGON ((-8223106.728640874 4947515.078433569, -8225961.723988297 4947121.1306606475, -8226085.950558786 4947420.308514141, -8226047.229540346 4947425.790311872, -8225981.87229687 4947390.621539557, -8226125.249921009 4947717.82963709, -8226042.681503167 4947729.20667529, -8226123.23456609 4948280.935937384, -8223417.753737787 4948654.882733031, -8223357.7931352705 4948222.143761803, -8223401.268024084 4948203.820969861, -8223106.728640874 4947515.078433569))",657.0,32.58397809069929,3.483820697951437
11004,22606526.9139,"POLYGON ((-8205435.780043214 4947644.405749949, -8205214.2746346155 4947456.747070117, -8205040.2737036105 4947577.415626704, -8204713.977632514 4947663.311633898, -8204489.736498369 4946868.853423599, -8204590.139034203 4946840.3661943665, -8204355.87472978 4946013.208139954, -8205772.698693326 4945614.990582434, -8205991.845273004 4946120.551353842, -8206324.890892928 4947099.104921358, -8206435.171768555 4947484.100312164, -8206565.132947744 4947810.199532634, -8206604.005781996 4947978.3720137095, -8206751.852689765 4948130.110483909, -8206773.921663828 4948185.040709084, -8206677.255304491 4948350.665655164, -8206594.521963967 4948557.984737773, -8206222.772584661 4948421.287816861, -8206173.364356252 4948510.625439089, -8205954.781485782 4948444.911289925, -8205975.377837172 4948379.862790332, -8205962.774819029 4948370.18112552, -8205927.18001501 4947903.699288456, -8205507.622360094 4947561.572938456, -8205435.780043214 4947644.405749949))",163.0,7.21030703304437,1.9755115347236478
11040,6269333.41234,"POLYGON ((-8204355.87472978 4946013.208139954, -8204590.139034203 4946840.3661943665, -8204489.736498369 4946868.853423599, -8204713.977632514 4947663.311633898, -8205040.2737036105 4947577.415626704, -8205214.2746346155 4947456.747070117, -8205435.780043214 4947644.405749949, -8205081.338298073 4948032.546015127, -8204778.074952126 4948409.968052397, -8204350.113238938 4948050.918740192, -8204218.024829504 4946525.007000848, -8204202.446626469 4946115.509497284, -8204355.87472978 4946013.208139954))",25.0,3.9876647732264834,1.383205789696458
11426,49418364.0577,"POLYGON ((-8206773.921663828 4948185.040709084, -8206751.852689765 4948130.110483909, -8206604.005781996 4947978.3720137095, -8206565.132947744 4947810.199532634, -8206435.171768555 4947484.100312164, -8206324.890892928 4947099.104921358, -8205991.845273004 4946120.551353842, -8205887.52514203 4945857.148602003, -8205524.2007433325 4945077.431279336, -8205442.962092921 4944798.178574565, -8205415.882681722 4944326.339732901, -8205254.566037099 4944220.32455881, -8205994.845473428 4944097.024129076, -8206169.684534032 4944047.473159009, -8207164.100115599 4943701.530261994, -8207235.227292194 4943613.426997118, -8207321.113713016 4943578.005935904, -8207359.784285627 4943709.823591644, -8207381.487253796 4943699.419227304, -8207403.952983663 4943776.998894546, -8207575.493195464 4943726.978551566, -8207764.955571436 4944384.924848144, -8207666.96470957 4944750.468188719, -8207899.893562625 4944772.659944629, -8207910.103187916 4944850.746301466, -8207801.188996588 4944846.548195899, -8207715.905241658 4945103.760948728, -8208192.357726731 4945217.948397116, -8208121.552344902 4945466.961051607, -8208090.151509991 4945507.916852569, -8208006.062860829 4946013.735654432, -8208217.885489737 4945900.865353597, -8208887.0263987845 4945709.925801751, -8208605.286620344 4946142.163329877, -8208469.440842524 4946265.813607065, -8208006.1115932185 4946594.059208394, -8207724.693817145 4946889.306434308, -8207591.714703037 4947083.1494346, -8207489.129891933 4947288.016345689, -8207394.178275432 4947625.884837002, -8207323.286330995 4947773.347103434, -8207241.392540657 4947883.978572208, -8206942.058584505 4948126.189572276, -8206811.881698115 4948267.913730388, -8206773.921663828 4948185.040709084))",151.0,3.0555442876193775,1.1169577396413028
11365,69385865.5943,"POLYGON ((-8216590.283198049 4944297.543410447, -8216620.343188419 4944463.416446804, -8216589.418237185 4944775.881578869, -8216535.34575852 4945930.1404703995, -8217045.13094755 4945965.903198664, -8217058.932550284 4946062.6848842865, -8216848.7722322205 4946026.52357692, -8216531.147140124 4946009.649884109, -8216506.377741162 4946510.730922533, -8216971.273742618 4946610.06878385, -8216925.258931893 4946787.192409496, -8216900.560072497 4946987.995642793, -8216954.894258296 4947073.287022181, -8216213.982598204 4947658.4897671845, -8215698.7987018805 4947606.790927308, -8215691.333387053 4947504.628544129, -8215158.55030678 4947449.943084504, -8215153.473769094 4947489.63922206, -8214982.809812875 4947617.889164216, -8214800.706578759 4947440.481452613, -8214801.295562281 4947407.484635949, -8214522.128931207 4947393.813942007, -8214521.068912513 4947414.602529257, -8213130.477767414 4947915.88694914, -8212661.801619107 4946641.552130725, -8212529.715827483 4946245.410907405, -8212357.3546532495 4945629.804885992, -8213098.934677538 4945337.863940776, -8214080.95665864 4944904.3681985, -8215424.413204719 4944473.1822483, -8216590.283198049 4944297.543410447))",222.0,3.1994988907112107,1.1629942008903982
11373,42659399.8982,"POLYGON ((-8225087.816143717 4944349.388962558, -8225088.619736231 4944555.279677389, -8225121.062466731 4944722.472276309, -8225125.512246571 4944740.221856863, -8225181.186985894 4944724.149961436, -8225232.754246829 4945374.436547673, -8225328.642405065 4945568.434317803, -8225551.387599291 4945590.667581848, -8225251.468335276 4945670.289040952, -8225412.547287984 4946056.337977648, -8225368.413260612 4946045.309870045, -8225359.684549756 4946125.321517652, -8225416.899563954 4946228.563444863, -8225427.919332333 4946285.807290979, -8225441.611069921 4946284.225485414, -8225556.50627686 4947176.632732303, -8223106.728640874 4947515.078433569, -8223010.386851335 4947305.100181316, -8222889.273114765 4946645.151547622, -8222895.019858907 4946287.688699545, -8222778.951931387 4945912.999240755, -8222675.246810774 4945944.430786525, -8222606.361704615 4945720.382491312, -8222705.784399441 4945681.593936021, -8222559.862372006 4945307.219491314, -8222972.743114758 4945129.869491479, -8222932.724214853 4945106.122535559, -8223022.2380323745 4945035.565678928, -8223162.727824701 4944761.592034085, -8223338.180830145 4944647.969533869, -8223327.950398667 4944588.30893167, -8223349.526796574 4944581.44886229, -8223639.918198141 4944720.346555785, -8223621.185309023 4944764.659271911, -8223672.798367964 4944801.919998363, -8223944.685342756 4944686.99602263, -8224228.884434906 4944533.441843545, -8224405.652666511 4944490.800892954, -8224863.528290816 4944433.577324073, -8225087.816143717 4944349.388962558))",678.0,15.893331871004778,2.765899642080053
11001,9155180.26263,"POLYGON ((-8204355.87472978 4946013.208139954, -8204202.446626469 4946115.509497284, -8204233.6227408545 4945936.8824748965, -8204341.698251725 4945571.278014682, -8204976.09698211 4944340.436317979, -8205254.566037099 4944220.32455881, -8205412.96282033 4944321.1085698735, -8205442.962092921 4944798.178574565, -8205524.2007433325 4945077.431279336, -8205772.698693326 4945614.990582434, -8204355.87472978 4946013.208139954))",28.0,3.0583777923293956,1.1178846421683004
11375,55587771.835,"POLYGON ((-8221639.859599803 4945695.200867139, -8221172.329850509 4945835.5918250885, -8221147.845292974 4945774.272342863, -8221093.4581885 4945794.491263578, -8220948.648874735 4945853.755880041, -8220451.976480426 4946153.429044075, -8220387.0432446655 4945554.190011474, -8220292.2962981565 4945257.44388785, -8220127.727854074 4944950.120043353, -8219884.247679506 4944660.863988389, -8219739.726171552 4944425.17606704, -8219478.424602363 4943775.325173997, -8219269.330048893 4943400.307766877, -8219013.147153047 4943031.012511953, -8218862.899005298 4942864.205666116, -8218698.615696907 4942771.783453675, -8218387.443364136 4942657.985210391, -8218279.358144082 4942574.948717196, -8218806.003821963 4942399.473986891, -8218841.253954407 4942424.168312346, -8218897.494924566 4942401.5687366305, -8219398.696941602 4942052.164648069, -8219374.870589448 4942025.280560886, -8219474.370988777 4941899.338358557, -8219558.823389484 4941889.745780152, -8219806.406129752 4941767.693798135, -8220159.93768325 4941548.331431198, -8220370.560010215 4941503.442617956, -8220832.416693076 4941476.420362697, -8220967.743787792 4941424.055215572, -8221064.958216297 4941347.379375348, -8221257.988441832 4941401.614597396, -8221632.684842578 4941246.646285168, -8221687.30938725 4941412.690749505, -8221867.989955584 4943190.530144515, -8221684.916628389 4943228.978702202, -8221753.483074406 4943468.204493989, -8221384.615922451 4944236.191160273, -8221332.549478891 4944299.041893194, -8221142.283496554 4944374.408628964, -8221130.222227234 4944469.324628846, -8221390.88330379 4945099.871110684, -8221427.967022465 4945146.023340822, -8221467.635347899 4945125.422774003, -8221662.18616282 4945626.532229634, -8221639.859599803 4945695.200867139))",354.0,6.368307063121197,1.8513336670907923
11427,39568339.2748,"POLYGON ((-8208887.0263987845 4945709.925801751, -8208217.885489737 4945900.865353597, -8208006.062860829 4946013.735654432, -8208090.151509991 4945507.916852569, -8208121.552344902 4945466.961051607, -8208192.357726731 4945217.948397116, -8207715.905241658 4945103.760948728, -8207801.188996588 4944846.548195899, -8207910.7576161865 4944840.624938233, -8207894.969041294 4944760.152187012, -8207666.96470957 4944750.468188719, -8207723.550240094 4944557.352623268, -8207927.166008888 4944617.508181458, -8207988.729091451 4944409.003018766, -8208521.33352184 4944566.740644789, -8208539.777805221 4944508.719821528, -8209521.990274893 4943715.398809598, -8209664.322661815 4943625.1310551, -8210020.378662199 4943315.990730242, -8210620.259166543 4942975.825090347, -8210979.783922012 4943576.382096407, -8211106.41195119 4943693.944403209, -8211444.213854659 4943917.098671786, -8211522.583388861 4944003.410954671, -8212050.723179077 4944971.744305281, -8209558.416007802 4945525.663668054, -8208887.0263987845 4945709.925801751))",208.0,5.256728076340306,1.6595087944846956
11374,25203458.8689,"POLYGON ((-8222559.862372006 4945307.219491314, -8221915.501975946 4945559.783436375, -8221925.8561011115 4945582.293658393, -8221639.859599803 4945695.200867139, -8221662.18616282 4945626.532229634, -8221467.635347899 4945125.422774003, -8221427.967022465 4945146.023340822, -8221390.88330379 4945099.871110684, -8221130.593874136 4944475.753064629, -8221142.283496554 4944374.408628964, -8221332.549478891 4944299.041893194, -8221384.615922451 4944236.191160273, -8221753.483074406 4943468.204493989, -8221684.916628389 4943228.978702202, -8221867.989955584 4943190.530144515, -8221754.7108540945 4941998.817976811, -8222288.991343547 4942107.159259245, -8222019.862291172 4942281.003593333, -8222022.491074279 4942389.4795332765, -8222050.198427174 4942486.919200733, -8222516.556198033 4943079.147843694, -8223092.047703815 4943897.211638253, -8223284.155077513 4944415.644434685, -8223372.8747097775 4944242.2272988595, -8223531.694069643 4944405.804504872, -8223327.950398667 4944588.30893167, -8223338.180830145 4944647.969533869, -8223156.141292423 4944769.317196079, -8223022.2380323745 4945035.565678928, -8222932.724214853 4945106.122535559, -8222972.743114758 4945129.869491479, -8222559.862372006 4945307.219491314))",243.0,9.641533777724918,2.266080201539629
