BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,TOTAL_INJURED,TOTAL_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME
QUEENS,11370.0,40.76092,-73.8892,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Taxi,2018-09-10 15:00:00
MANHATTAN,10018,40.751575,-73.982285,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-18 11:21:00
MANHATTAN,10030.0,40.82403,-73.94476,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-08 17:10:00
BROOKLYN,11239.0,40.64732,-73.88556,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-10 08:56:00
MANHATTAN,10001.0,40.75458,-73.99915,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-20 10:00:00
MANHATTAN,10016,40.745113,-73.98067,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-09 17:20:00
MANHATTAN,10022.0,40.76161,-73.97076,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-04 17:50:00
MANHATTAN,10001.0,40.745148,-73.98839,1.0,0.0,0,0,0,0,1,0,Unspecified,Taxi,2018-09-11 01:37:00
BROOKLYN,11207.0,40.658577,-73.89063,4.0,0.0,0,0,0,0,4,0,Traffic Control Disregarded,Taxi,2018-09-08 03:30:00
MANHATTAN,10036.0,40.758152,-73.989136,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-17 22:30:00
MANHATTAN,10003.0,40.731426,-73.990746,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-16 12:35:00
MANHATTAN,10002,40.712616,-73.96951,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-07 11:30:00
MANHATTAN,10037.0,40.8178,-73.93596,0.0,0.0,0,0,0,0,0,0,Unspecified,Fire truck,2018-09-16 18:55:00
MANHATTAN,10017.0,40.75112,-73.97127,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-06 11:57:00
BRONX,10456.0,40.821533,-73.90759,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-05 15:00:00
MANHATTAN,10018.0,40.75649,-73.997765,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-07 14:57:00
MANHATTAN,10011.0,40.741665,-74.00114,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-18 14:08:00
BRONX,10458.0,40.86061,-73.88935,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Ambulance,2018-08-30 15:50:00
MANHATTAN,10121.0,40.7498,-73.99151,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-11 00:01:00
MANHATTAN,10001.0,40.751446,-74.001434,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-10 17:30:00
MANHATTAN,10036.0,40.758705,-73.98928,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-19 05:53:00
MANHATTAN,10002.0,40.7224,-73.99165,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-06 00:30:00
MANHATTAN,10028.0,40.773655,-73.95173,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Ambulance,2018-08-30 17:54:00
MANHATTAN,10065.0,40.761856,-73.96343,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-16 16:56:00
QUEENS,11435.0,40.699017,-73.80696,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-15 04:20:00
QUEENS,11368.0,40.75251,-73.86727,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Taxi,2018-09-13 18:56:00
MANHATTAN,10002,40.71016,-73.98854,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Fire truck,2018-09-01 03:45:00
MANHATTAN,10014.0,40.73222,-74.00356,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-18 11:50:00
BRONX,10461.0,40.842518,-73.84532,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-11 20:52:00
BRONX,10457.0,40.854477,-73.90125,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-04 17:00:00
MANHATTAN,10001.0,40.74862,-73.9909,0.0,0.0,0,0,0,0,0,0,Passenger Distraction,Taxi,2018-09-19 17:30:00
MANHATTAN,10011.0,40.744034,-74.00313,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-06 15:20:00
MANHATTAN,10023.0,40.778164,-73.97454,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-18 07:40:00
MANHATTAN,10003,40.725582,-73.989876,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-09 00:20:00
MANHATTAN,10011,40.73539,-73.99828,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-17 21:03:00
BROOKLYN,11229.0,40.608467,-73.95895,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-06 16:46:00
QUEENS,11372.0,40.751003,-73.89213,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-07 17:35:00
MANHATTAN,10023.0,40.77549,-73.98218,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-19 20:21:00
MANHATTAN,10001.0,40.7491,-73.99201,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-08 00:15:00
MANHATTAN,10027,40.80907,-73.94455,0.0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Taxi,2018-09-13 19:30:00
QUEENS,11101,40.737785,-73.93496,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-01 00:15:00
MANHATTAN,10036.0,40.757935,-73.98557,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-17 01:00:00
BRONX,10452.0,40.84104,-73.92195,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-11 01:10:00
MANHATTAN,10018,40.75028,-73.98113,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-05 13:30:00
BROOKLYN,11205.0,40.689674,-73.96614,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-08-31 15:46:00
BRONX,10453,40.84772,-73.92204,0.0,0.0,0,0,0,0,0,0,Unspecified,Ambulance,2018-09-17 10:31:00
MANHATTAN,10002.0,40.72263,-73.98881,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-15 01:00:00
MANHATTAN,10032.0,40.84163,-73.94104,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Ambulance,2018-09-16 21:55:00
MANHATTAN,10001.0,40.747234,-73.99337,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-19 22:30:00
QUEENS,11372.0,40.748123,-73.87929,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Taxi,2018-09-14 06:05:00
MANHATTAN,10019.0,40.760605,-73.98362,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-31 22:00:00
MANHATTAN,10019.0,40.763535,-73.97536,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-14 16:02:00
QUEENS,11369.0,40.770428,-73.875465,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-04 13:00:00
MANHATTAN,10001.0,40.747852,-73.99291,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-07 12:15:00
MANHATTAN,10028.0,40.772705,-73.949486,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-09 09:15:00
MANHATTAN,10023.0,40.781025,-73.981316,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-29 19:00:00
MANHATTAN,10019.0,40.76922,-73.98478,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-08-30 12:20:00
BROOKLYN,11204.0,40.63291,-73.97957,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-05 10:53:00
BROOKLYN,11218,40.650597,-73.97209,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-02 18:15:00
BROOKLYN,11236.0,40.642242,-73.910774,2.0,0.0,0,0,0,0,2,0,Unspecified,Taxi,2018-09-08 00:30:00
MANHATTAN,10001.0,40.745384,-73.99471,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-08 23:10:00
BRONX,10474.0,40.816273,-73.89287,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-14 10:40:00
MANHATTAN,10036.0,40.760403,-73.98748,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-03 00:05:00
BRONX,10460,40.837894,-73.88138,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-08-29 10:17:00
BROOKLYN,11225.0,40.668884,-73.94949,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-02 21:10:00
MANHATTAN,10010,40.74303,-73.98917,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-09 02:50:00
MANHATTAN,10012.0,40.72379,-73.998184,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-03 16:30:00
BROOKLYN,11201.0,40.702908,-73.994446,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-19 22:00:00
BRONX,10470,40.882095,-73.86878,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-12 08:45:00
MANHATTAN,10281,40.710876,-74.01439,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-04 09:25:00
BROOKLYN,11203.0,40.658417,-73.929146,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-14 14:30:00
BROOKLYN,11225,40.662174,-73.953705,3.0,0.0,0,0,0,0,3,0,Turning Improperly,Taxi,2018-09-18 07:55:00
BRONX,10458,40.86187,-73.89178,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-06 18:04:00
MANHATTAN,10017.0,40.754097,-73.97834,1.0,0.0,0,0,1,0,0,0,Unspecified,Taxi,2018-09-18 08:17:00
MANHATTAN,10001,40.7453,-73.986855,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-15 22:15:00
MANHATTAN,10016.0,40.744442,-73.979065,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-17 12:20:00
BRONX,10473.0,40.823257,-73.84902,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-14 12:40:00
QUEENS,11435,40.703163,-73.81662,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-13 15:55:00
BRONX,10453.0,40.850494,-73.91546,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-11 11:20:00
BROOKLYN,11238.0,40.68031,-73.96793,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Ambulance,2018-08-28 16:30:00
MANHATTAN,10017.0,40.756653,-73.97858,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-08-28 11:18:00
BROOKLYN,11207,40.681503,-73.904106,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Taxi,2018-09-06 17:15:00
QUEENS,11435,40.692463,-73.81082,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-28 14:20:00
QUEENS,11102,40.76789,-73.92353,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-05 08:00:00
BROOKLYN,11249,40.715473,-73.95185,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-21 20:30:00
MANHATTAN,10002,40.718006,-73.9866,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-29 23:50:00
MANHATTAN,10034.0,40.865547,-73.92728,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-18 16:53:00
MANHATTAN,10001.0,40.75246,-73.994095,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-07 22:30:00
MANHATTAN,10018.0,40.75469,-73.993484,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-29 14:20:00
BRONX,10458.0,40.864227,-73.89578,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-08-28 21:20:00
MANHATTAN,10022,40.757454,-73.95571,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-07 12:47:00
QUEENS,11435,40.69775,-73.81393,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-15 15:53:00
BRONX,10457.0,40.847656,-73.906784,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Ambulance,2018-09-14 13:00:00
MANHATTAN,10022.0,40.75988,-73.972,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-30 17:15:00
BRONX,10456,40.82816,-73.91297,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-15 19:42:00
BRONX,10467,40.881504,-73.879364,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Taxi,2018-09-20 18:40:00
MANHATTAN,10036,40.75734,-73.98602,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-21 19:15:00
BROOKLYN,11251,40.700836,-73.98594,1.0,0.0,0,0,0,0,1,0,Brakes Defective,Taxi,2018-09-04 12:00:00
MANHATTAN,10024,40.78542,-73.98399,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Taxi,2018-09-09 00:55:00
BRONX,10452,40.83874,-73.913765,1.0,0.0,0,0,0,0,1,0,Unspecified,Taxi,2018-09-06 19:00:00
BROOKLYN,11221,40.691555,-73.93677,1.0,0.0,0,0,0,0,1,0,Passing Too Closely,Taxi,2018-09-01 21:24:00
MANHATTAN,10017,40.754677,-73.975815,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-19 17:50:00
MANHATTAN,10000.0,40.777023,-73.96394,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-21 16:35:00
MANHATTAN,10030,40.817173,-73.94606,5.0,0.0,0,0,0,0,5,0,Backing Unsafely,Taxi,2018-09-10 23:10:00
QUEENS,11378.0,40.719334,-73.906845,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-14 07:13:00
MANHATTAN,10002.0,40.719482,-73.991295,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-11 00:58:00
MANHATTAN,10025,40.792362,-73.96418,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-14 23:51:00
BRONX,10466.0,40.888588,-73.85513,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-08-31 15:45:00
QUEENS,11415,40.70978,-73.82043,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-12 20:00:00
MANHATTAN,10019.0,40.761414,-73.976295,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-14 17:05:00
MANHATTAN,10018.0,40.757668,-73.99483,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-16 12:00:00
QUEENS,11434,40.667236,-73.770004,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Taxi,2018-08-29 15:20:00
BROOKLYN,11233.0,40.68017,-73.93151,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Taxi,2018-09-21 18:20:00
MANHATTAN,10001,40.746037,-73.990524,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-15 20:45:00
QUEENS,11379.0,40.712204,-73.88638,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Ambulance,2018-09-06 18:38:00
MANHATTAN,10279,40.71137,-74.00862,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-12 10:45:00
MANHATTAN,10022.0,40.756886,-73.96943,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-03 11:01:00
BRONX,10456.0,40.824066,-73.908714,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-30 22:00:00
MANHATTAN,10038.0,40.708492,-74.00294,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-11 11:00:00
QUEENS,11415,40.706142,-73.83177,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-01 14:30:00
MANHATTAN,10017.0,40.751884,-73.96759,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Taxi,2018-09-15 19:55:00
QUEENS,11417,40.731182,-73.871605,3.0,0.0,0,0,0,0,3,0,Following Too Closely,Taxi,2018-09-13 13:57:00
QUEENS,11379.0,40.710762,-73.87706,1.0,0.0,0,0,0,0,1,0,Passing Too Closely,Taxi,2018-09-02 23:04:00
MANHATTAN,10018.0,40.75649,-73.997765,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-11 15:36:00
BRONX,10460,40.832268,-73.88457,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-08-30 23:00:00
MANHATTAN,10028,40.77529,-73.953636,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-20 00:00:00
BRONX,10465,40.798256,-73.82744,2.0,0.0,0,0,0,0,2,0,Following Too Closely,Taxi,2018-09-01 17:20:00
MANHATTAN,10065,40.759617,-73.95813,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Taxi,2018-09-04 12:30:00
BRONX,10451.0,40.810223,-73.93103,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Taxi,2018-09-13 19:06:00
QUEENS,11432,40.71604,-73.80504,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-19 14:30:00
MANHATTAN,10001.0,40.746037,-73.9886,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-12 14:35:00
BROOKLYN,11217,40.687344,-73.97985,3.0,0.0,0,0,0,0,3,0,Driver Inattention/Distraction,Taxi,2018-09-16 19:30:00
BROOKLYN,11201,40.699844,-73.991035,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-29 01:00:00
BROOKLYN,11226.0,40.64884,-73.95102,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Fire truck,2018-09-08 23:09:00
MANHATTAN,10065,40.761173,-73.95789,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Taxi,2018-09-06 17:00:00
MANHATTAN,10004.0,40.70503,-74.013336,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Ambulance,2018-09-07 22:51:00
MANHATTAN,10065.0,40.763363,-73.95925,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-04 09:31:00
MANHATTAN,10027.0,40.810364,-73.9473,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Taxi,2018-09-21 17:35:00
QUEENS,11378.0,40.714176,-73.90932,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-13 18:40:00
QUEENS,11423,40.726444,-73.76579,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-10 05:45:00
MANHATTAN,10030,40.81467,-73.93623,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-06 05:49:00
QUEENS,11101,40.752106,-73.94424,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-02 19:20:00
BRONX,10472.0,40.83265,-73.86366,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-12 07:40:00
MANHATTAN,10014,40.731064,-74.00142,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-14 03:03:00
MANHATTAN,10007.0,40.713135,-74.00407,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-12 13:00:00
MANHATTAN,10010.0,40.73976,-73.98141,0.0,0.0,0,0,0,0,0,0,Passenger Distraction,Taxi,2018-09-16 02:55:00
MANHATTAN,10011.0,40.745293,-73.9985,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-03 23:15:00
MANHATTAN,10001.0,40.748512,-73.98872,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-08-30 16:45:00
QUEENS,11375,40.72337,-73.8483,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-10 12:04:00
MANHATTAN,10162,40.76635,-73.95103,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Taxi,2018-09-09 15:00:00
BROOKLYN,11235.0,40.582836,-73.959015,0.0,0.0,0,0,0,0,0,0,Unspecified,Fire truck,2018-09-15 18:39:00
MANHATTAN,10007.0,40.713806,-74.01372,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-16 14:30:00
MANHATTAN,10032,40.840496,-73.94599,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-12 12:10:00
MANHATTAN,10018.0,40.751114,-73.98503,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-01 18:15:00
MANHATTAN,10065.0,40.764988,-73.96116,1.0,0.0,0,0,1,0,0,0,Unspecified,Taxi,2018-09-19 18:45:00
MANHATTAN,10036.0,40.76015,-73.9988,5.0,0.0,0,0,0,0,5,0,Traffic Control Disregarded,Taxi,2018-09-15 21:25:00
QUEENS,11372.0,40.754436,-73.8784,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Ambulance,2018-09-10 17:00:00
MANHATTAN,10016.0,40.74692,-73.97122,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-19 08:30:00
MANHATTAN,10036,40.757256,-73.98583,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-01 17:45:00
BROOKLYN,11226.0,40.654068,-73.96177,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Ambulance,2018-09-12 15:30:00
MANHATTAN,10019.0,40.763657,-73.97347,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Taxi,2018-09-16 14:00:00
BRONX,10458.0,40.859875,-73.89323,2.0,0.0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Taxi,2018-09-20 22:50:00
QUEENS,11435,40.70313,-73.816795,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-08-29 18:39:00
BRONX,10451.0,40.818558,-73.92732,0.0,0.0,0,0,0,0,0,0,Unspecified,Ambulance,2018-09-08 15:20:00
QUEENS,11432.0,40.711777,-73.808075,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-01 22:45:00
BRONX,10458.0,40.86052,-73.89257,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-14 23:34:00
QUEENS,11101.0,40.744026,-73.92616,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-18 11:53:00
MANHATTAN,10002.0,40.72224,-73.9863,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-17 21:40:00
MANHATTAN,10035.0,40.803696,-73.93792,0.0,0.0,0,0,0,0,0,0,Unspecified,Ambulance,2018-09-02 14:50:00
MANHATTAN,10020.0,40.758873,-73.98119,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-19 20:45:00
MANHATTAN,10036,40.755802,-73.986404,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-10 12:54:00
BROOKLYN,11210.0,40.621994,-73.94598,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-06 16:00:00
MANHATTAN,10013.0,40.720627,-74.00522,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-08 21:15:00
MANHATTAN,10128,40.783245,-73.94473,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-06 13:15:00
BROOKLYN,11207,40.657753,-73.89612,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-20 17:00:00
MANHATTAN,10013,40.72177,-74.00527,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-11 16:30:00
MANHATTAN,10013,40.72135,-74.00465,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-11 22:05:00
MANHATTAN,10001.0,40.745384,-73.99471,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-07 02:48:00
QUEENS,11367.0,40.73221,-73.82374,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-18 19:00:00
BRONX,10468.0,40.859932,-73.90296,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-02 14:00:00
MANHATTAN,10016.0,40.74456,-73.971375,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-01 19:00:00
MANHATTAN,10016.0,40.739494,-73.97663,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-21 09:40:00
QUEENS,11101.0,40.750645,-73.94566,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-08 16:20:00
MANHATTAN,10016.0,40.747627,-73.976746,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-07 14:45:00
QUEENS,11372.0,40.747036,-73.88958,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-23 17:00:00
MANHATTAN,10013.0,40.72051,-74.01013,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-08-13 22:40:00
MANHATTAN,10065.0,40.76591,-73.96341,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-25 16:00:00
QUEENS,11421.0,40.69125,-73.85087,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-08-20 16:19:00
BRONX,10472,40.824158,-73.87462,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-08-16 09:30:00
MANHATTAN,10012.0,40.724136,-73.992615,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-08-02 12:10:00
MANHATTAN,10006,40.70983,-74.01468,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-08-04 05:00:00
MANHATTAN,10012.0,40.72131,-73.99471,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-08-15 13:30:00
MANHATTAN,10036,40.75671,-73.986465,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-08-03 09:40:00
