BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,TOTAL_INJURED,TOTAL_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME
MANHATTAN,10020.0,40.758644,-73.981346,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-24 09:50:00
MANHATTAN,10002.0,40.715893,-73.986496,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-22 00:11:00
BROOKLYN,11203.0,40.662395,-73.93735,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-25 06:15:00
MANHATTAN,10004.0,40.70315,-74.014435,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Taxi,2018-09-21 10:30:00
MANHATTAN,10023,40.774227,-73.98112,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-22 13:22:00
MANHATTAN,10022.0,40.758488,-73.97514,0.0,0.0,0,0,0,0,0,0,Obstruction/Debris,Ambulance,2018-09-22 07:06:00
MANHATTAN,10001.0,40.74658,-73.99756,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-25 16:19:00
MANHATTAN,10028,40.780174,-73.95932,0.0,0.0,0,0,0,0,0,0,Unspecified,Ambulance,2018-09-28 12:30:00
MANHATTAN,10022.0,40.758007,-73.96625,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-23 03:05:00
MANHATTAN,10016,40.74137,-73.97252,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-28 16:15:00
QUEENS,11427,40.71071,-73.793045,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Ambulance,2018-09-26 15:36:00
MANHATTAN,10036.0,40.75898,-73.99595,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-27 20:38:00
