BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
MANHATTAN,10029.0,40.797676,-73.93941,Unspecified,Taxi,2018-09-21 14:30:00,September,14,Friday,21,Injured or Killed,rain
MANHATTAN,10018.0,40.75525,-73.998665,Passing Too Closely,Taxi,2018-09-30 00:35:00,September,0,Sunday,30,No Damage,clear
MANHATTAN,10031.0,40.82523,-73.94761,Unspecified,Taxi,2018-09-27 03:08:00,September,3,Thursday,27,Injured or Killed,partly-cloudy
MANHATTAN,10013.0,40.726437,-74.00566,Driver Inattention/Distraction,Taxi,2018-09-27 18:30:00,September,18,Thursday,27,Injured or Killed,partly-cloudy
BROOKLYN,11226.0,40.63962,-73.95477,Failure to Yield Right-of-Way,Taxi,2018-09-29 14:50:00,September,14,Saturday,29,No Damage,partly-cloudy
QUEENS,11104.0,40.733955,-73.92172,Driver Inattention/Distraction,Taxi,2018-09-27 00:23:00,September,0,Thursday,27,No Damage,partly-cloudy
BROOKLYN,11213.0,40.679035,-73.938515,Unspecified,Taxi,2018-09-29 16:35:00,September,16,Saturday,29,Injured or Killed,partly-cloudy
BROOKLYN,11230.0,40.615932,-73.95673,Failure to Yield Right-of-Way,Taxi,2018-09-28 19:39:00,September,19,Friday,28,Injured or Killed,rain
QUEENS,11435.0,40.689785,-73.80954,Following Too Closely,Taxi,2018-09-23 14:45:00,September,14,Sunday,23,No Damage,partly-cloudy
MANHATTAN,10001.0,40.747143,-74.000854,Failure to Yield Right-of-Way,Taxi,2018-09-27 21:48:00,September,21,Thursday,27,Injured or Killed,partly-cloudy
MANHATTAN,10022.0,40.76155,-73.96659,Turning Improperly,Taxi,2018-09-23 02:15:00,September,2,Sunday,23,No Damage,partly-cloudy
MANHATTAN,10011.0,40.732845,-73.995926,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-30 21:50:00,September,21,Sunday,30,No Damage,clear
BRONX,10472.0,40.834274,-73.87364,Following Too Closely,Taxi,2018-09-28 16:41:00,September,16,Friday,28,No Damage,rain
BRONX,10451.0,40.81761,-73.92776,Unspecified,Taxi,2018-09-29 18:13:00,September,18,Saturday,29,No Damage,partly-cloudy
BROOKLYN,11234.0,40.592815,-73.90808,Driver Inattention/Distraction,Taxi,2018-09-28 15:17:00,September,15,Friday,28,No Damage,rain
MANHATTAN,10027.0,40.81574,-73.95456,Passing or Lane Usage Improper,Taxi,2018-09-29 11:35:00,September,11,Saturday,29,No Damage,partly-cloudy
MANHATTAN,10013.0,40.71843,-74.000534,Passing Too Closely,Taxi,2018-09-25 10:50:00,September,10,Tuesday,25,No Damage,rain
MANHATTAN,10019.0,40.76711,-73.98173,Driver Inattention/Distraction,Taxi,2018-09-27 13:00:00,September,13,Thursday,27,No Damage,partly-cloudy
MANHATTAN,10006.0,40.709766,-74.014694,Unspecified,Taxi,2018-09-22 12:11:00,September,12,Saturday,22,No Damage,rain
MANHATTAN,10017.0,40.751457,-73.978165,Driver Inattention/Distraction,Taxi,2018-09-28 17:23:00,September,17,Friday,28,No Damage,rain
MANHATTAN,10162.0,40.768875,-73.94898,Passing Too Closely,Ambulance,2018-09-27 22:30:00,September,22,Thursday,27,No Damage,partly-cloudy
MANHATTAN,10011.0,40.738552,-73.99969,Failure to Yield Right-of-Way,Taxi,2018-09-30 20:22:00,September,20,Sunday,30,No Damage,clear
BRONX,10456.0,40.833286,-73.914085,Oversized Vehicle,Ambulance,2018-09-23 21:56:00,September,21,Sunday,23,No Damage,partly-cloudy
MANHATTAN,10012.0,40.723423,-73.99962,Backing Unsafely,Taxi,2018-09-27 14:30:00,September,14,Thursday,27,No Damage,partly-cloudy
MANHATTAN,10029.0,40.784943,-73.946594,Failure to Yield Right-of-Way,Taxi,2018-09-29 19:51:00,September,19,Saturday,29,Injured or Killed,partly-cloudy
BROOKLYN,11208.0,40.672337,-73.87118,Traffic Control Disregarded,Taxi,2018-09-26 06:30:00,September,6,Wednesday,26,Injured or Killed,rain
BROOKLYN,11238.0,40.686287,-73.9695,Driver Inattention/Distraction,Taxi,2018-09-23 19:32:00,September,19,Sunday,23,No Damage,partly-cloudy
QUEENS,11372.0,40.75644,-73.87701,Driver Inattention/Distraction,Taxi,2018-09-24 14:10:00,September,14,Monday,24,No Damage,partly-cloudy
